CRASH_RECORD_ID,CRASH_DATE,WEATHER_CONDITION,ROADWAY_SURFACE_COND,LIGHTING_CONDITION,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,LATITUDE,LONGITUDE,LOCATION,crash_day,weather_unknown_flag,surface_unknown_flag
1e12363e2868e96475eca65800196793cd3e9e0f7b8a8fc1415dcb2af7e41d26098f0316d0b03f03d4b880cb25a857591eaed9b258df7b132e6a1380d17397c7,2025-02-18 04:00:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.9002329054,-87.6838543424,POINT (-87.6838543424 41.900232905352),2025-02-18,0,0
3a6d050a2138f533ca4f53bcaf0756e8aec9078db730d790b32804cffbea3539967b04a62c17d73fbe9c49d70b5cc2045f3269c8b5f479bf5f7ad12710e0daee,2025-02-18 03:53:00,SNOW,DRY,"DARKNESS, LIGHTED ROAD",NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.7519714919,-87.5565595052,POINT (-87.556559505233 41.751971491908),2025-02-18,0,0
d8d8ac56d2ec1e2fcf85648f105d4d152ee40f01ed924a18318d2cbc96565067309ae11eca9e5e66996aad1f7d697f04844a026278837756d6fc08f3321f0b1a,2025-02-15 14:13:00,FREEZING RAIN/DRIZZLE,DRY,DAYLIGHT,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,41.78032875,-87.6157713178,POINT (-87.615771317766 41.780328750022),2025-02-15,0,0
b367c6362e98b844c0cc05f5f684d63cec77465b7682aafc6fa7a47924312fe018b1056623ec5007948a226fdd00924fb16c5e2b1fd2a986caa07963c478f309,2025-02-14 19:30:00,SNOW,DRY,"DARKNESS, LIGHTED ROAD",NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.8722436859,-87.6284845834,POINT (-87.628484583379 41.872243685923),2025-02-14,0,0
d37bf1103dcfc6469c73d2a1f2dd46de8d7e9d4b2aeaa98807c79f0c1e92c0d3186591bcdccb5020e4cec4887dddd9015705fbcdf1ccf575ccb82adbe648f3da,2025-02-14 13:30:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.8783170107,-87.6170521254,POINT (-87.617052125371 41.878317010667),2025-02-14,0,0
c2f45c8d1f1cd97cd162c0bbc1daba01da2d970fa301de82e7df4e3bd2689eb6e2bc4c1ba00f5496655fefbafbeccbc07198d3c0b4e26727fae517292b10798c,2025-02-14 08:45:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.880384176,-87.6767683304,POINT (-87.676768330409 41.880384175957),2025-02-14,0,0
3d46618037b279f517647b5e98855ff63e852232697850122c01f973c4a6bfc583fb78377d1f18fb3755efb60a7678a87228b53c2ff490188e962e34bc5dcf1d,2025-02-13 20:23:00,SNOW,DRY,DARKNESS,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.8912910427,-87.7321414797,POINT (-87.732141479698 41.891291042665),2025-02-13,0,0
78d35f085be8911a64fecb8f2dd45de033360128c06cfdb7d20fc30160fb2c0201b7b8a4fdda826830b05041e8a66389ff1b44a5257df54292cf86bf0a3ca987,2025-02-13 11:20:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.8801371706,-87.6871132753,POINT (-87.687113275304 41.880137170614),2025-02-13,0,0
8b5739b4b84f62b0c2c6ae6156fcba2e3d24575c10b4ee876b7b1af7c829476155514cb6c94980f33a370e2bba0b1f138e6725cbdfcaf495bc78fe65f9987e77,2025-02-12 14:30:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.7656851044,-87.610365199,POINT (-87.610365199016 41.765685104445),2025-02-12,0,0
64c56b87112b6d4120690fa8cecb5febf715f6cb03e699f9909e909682bc9d5d122f9177c0a7ca0d5321cf31a649b8562bdcc743bf5f7f2e4965895f6bf537c3,2025-02-12 14:20:00,SNOW,DRY,DAYLIGHT,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.8917245906,-87.631987765,POINT (-87.631987764955 41.89172459059),2025-02-12,0,0
