month,avg_precip,total_precip,avg_temp,wet_days,snow_days,month_name
1,1.9451612903225806,60.3,-5.390322580645161,13,11,Jan
2,0.8464285714285715,23.700000000000003,-3.2464285714285714,14,10,Feb
3,3.0354838709677416,94.1,6.051612903225807,18,8,Mar
4,2.1566666666666667,64.7,9.706666666666667,18,1,Apr
5,2.3,71.3,13.035483870967743,16,0,May
6,4.133333333333334,124.0,22.096666666666668,15,0,Jun
