metric,value
row_count,181
min_day,2025-01-01 00:00:00
max_day,2025-06-30 00:00:00
missing_precipitation_sum,0
missing_weather_code,0
wet_day_count,94
dry_day_count,87
snow_day_count,30
mean_precipitation_sum,2.420441988950276
max_precipitation_sum,41.1
mean_temperature_2m_mean,7.114917127071825
min_temperature_2m_min,-21.9
max_temperature_2m_max,35.6
