crash_day,daily_crash_count,daily_injuries_total,daily_injuries_fatal,daily_injuries_incapacitating,daily_unknown_weather_count,daily_unknown_surface_count
2025-05-06,324,62.0,0.0,3.0,17,43
2025-05-07,302,83.0,0.0,7.0,20,36
2025-05-08,303,58.0,0.0,3.0,12,20
2025-05-09,408,85.0,0.0,3.0,19,60
2025-05-10,300,68.0,1.0,1.0,13,34
2025-05-11,310,102.0,0.0,5.0,19,35
2025-05-12,351,60.0,0.0,6.0,17,39
2025-05-13,343,65.0,1.0,3.0,9,30
2025-05-14,355,95.0,0.0,7.0,15,42
2025-05-15,355,96.0,1.0,7.0,30,51
2025-05-16,464,94.0,1.0,6.0,17,54
2025-05-17,330,73.0,0.0,6.0,28,41
2025-05-18,265,61.0,0.0,1.0,24,35
2025-05-19,300,81.0,0.0,6.0,24,43
2025-05-20,343,69.0,0.0,4.0,24,31
2025-05-21,385,69.0,0.0,4.0,36,47
2025-05-22,309,81.0,0.0,4.0,15,48
2025-05-23,353,57.0,0.0,4.0,26,50
2025-05-24,297,62.0,1.0,4.0,17,29
2025-05-25,291,72.0,0.0,4.0,20,26
2025-05-26,190,42.0,0.0,7.0,13,25
2025-05-27,325,60.0,1.0,0.0,26,45
2025-05-28,318,58.0,0.0,1.0,24,50
2025-05-29,365,76.0,0.0,2.0,22,52
2025-05-30,375,100.0,0.0,10.0,36,57
2025-05-31,315,73.0,0.0,4.0,22,44
2025-06-01,287,77.0,0.0,6.0,24,37
2025-06-02,334,70.0,0.0,9.0,16,37
2025-06-03,344,107.0,0.0,5.0,22,48
2025-06-04,378,87.0,0.0,4.0,36,52
2025-06-05,333,65.0,1.0,4.0,15,42
2025-06-06,401,76.0,0.0,5.0,28,50
2025-06-07,312,72.0,0.0,9.0,37,61
2025-06-08,367,78.0,0.0,11.0,29,50
2025-06-09,326,76.0,0.0,5.0,14,45
2025-06-10,322,73.0,0.0,9.0,20,38
2025-06-11,353,77.0,0.0,4.0,25,52
2025-06-12,335,92.0,0.0,8.0,21,39
2025-06-13,350,76.0,0.0,1.0,24,47
2025-06-14,341,101.0,1.0,6.0,22,40
2025-06-15,309,86.0,0.0,4.0,23,47
2025-06-16,294,64.0,0.0,5.0,15,36
2025-06-17,323,81.0,0.0,10.0,19,35
2025-06-18,325,73.0,0.0,8.0,27,42
2025-06-19,334,76.0,0.0,11.0,21,30
2025-06-20,344,87.0,0.0,6.0,23,47
2025-06-21,381,67.0,1.0,3.0,21,42
2025-06-22,320,69.0,4.0,3.0,35,53
2025-06-23,351,87.0,0.0,10.0,21,40
2025-06-24,309,62.0,0.0,7.0,34,56
2025-06-25,298,71.0,0.0,10.0,23,44
2025-06-26,347,82.0,0.0,4.0,25,64
2025-06-27,365,80.0,1.0,5.0,26,54
2025-06-28,374,92.0,0.0,6.0,29,54
2025-06-29,329,97.0,0.0,4.0,18,38
2025-06-30,263,63.0,0.0,4.0,29,36
